"","Group.1","X","young129_old126","young129_old127","young129_old128","young130_old126","young130_old127","young130_old128","young131_old126","young131_old127","young131_old128","std","agg23_meandNASF_1","agg35_meandNASF_1","agg23_meandNASF_2","agg35_meandNASF_2","agg23_meandNASF_3","agg35_meandNASF_3","nonzero_aggdif_minus1by2_23C","nonzero_aggdif_minus1by2_35C","nonzero_aggdif_minus1by3_23C","nonzero_aggdif_minus1by3_35C","nonzero_aggdif_minus2by3_23C","nonzero_aggdif_minus2by3_35C","avg2121","avg3535","avg2135","p_Value","avg_ratio_2135vs21","avg_ratio_2135vs35","threshold","GENENAME","threshold2"
"1","NP_001018030",1,13.5623194861924,18.937143133704,14.6164302238037,14.0832382920562,19.4580619395678,15.1373490296675,13.2259702572213,18.6007939047329,14.2800809948326,2.49469022196291,943.562989777778,152.068456222222,1016.60676233333,150.615171777778,1123.37829394444,139.990111,0.520918805863815,5.37482364751163,0.336349228971127,1.05411073761129,0.857268034834942,4.32071290990033,0.571512023223294,3.58321576500775,15.7668208068643,1.32443983729966e-06,27.5879074563302,4.40018738498438,TRUE,"CHA1","TRUE"
"8","NP_009342",8,59.8443516074742,59.8443516074742,56.9962225863116,51.3760838408451,51.3760838408451,48.5279548196826,67.5020154357175,67.5020154357175,64.6538864145549,7.12934711175043,520.735535660377,234.958201226415,569.418345528302,248.626088839623,633.223401896226,265.768341595283,8.80861549157154,2.40625214917582,7.69101900659969,3.27852134718069,16.4996344981712,5.68477349635651,10.9997563321142,3.78984899757101,58.6247739542914,9.14669091472842e-07,5.32964296519319,15.4688944049922,TRUE,"ECM1","TRUE"
"10","NP_009355",10,54.6352340604652,53.542558967062,46.3277565214156,64.8243441122391,63.7316690188359,56.5168665731895,61.285522153377,60.1928470599738,52.9780446143275,5.94589199020708,3309.94184705882,1635.26015123529,3543.24282764706,1534.18014517647,4156.46212705882,1518.12720905882,10.1891100517739,1.0926750934032,6.65028809291184,8.30747753904955,3.53882195886206,7.21480244564635,6.79274003451593,5.53831835936636,57.1149825645428,8.51277040363135e-08,8.40823913094343,10.3126940089947,TRUE,"GCV3","TRUE"
"12","NP_009362",12,64.0461851536959,62.8203636066382,65.7947979558083,60.5335629678092,59.8721804793195,62.1477681970397,60.7385497707929,60.7735576022273,62.4618028740784,1.9076134019393,221754.039091161,166198.751624403,228804.166459854,164153.666509514,214321.204124772,172414.119804805,5.90673584603647,4.36141316203413,17.3849533333227,5.24730898348823,14.1901887288497,6.92802278760563,12.4939593027363,5.51224831104266,62.1320854008233,4.18303316427178e-10,4.97297004859106,11.2716412423501,TRUE,"CDC19","TRUE"
"13","NP_009364",13,28.7557140344029,33.8421351554818,27.0181209718334,27.9621535169303,33.0485746380093,26.2245604543608,31.9119719932295,36.9983931143084,30.17437893066,3.56459758675409,177.666253848238,190.048589105691,180.121938265583,183.47083401084,147.908747804878,175.936942655827,0.79356051747255,5.08642112107893,3.15625795882663,1.7375930625695,3.94981847629918,6.82401418364843,2.63321231753279,4.54934278909895,30.6595558676907,1.53181637525073e-07,11.6434043937701,6.73933737003871,TRUE,"RBG1","TRUE"
"14","NP_009365",14,29.5910605260236,34.6808567432345,27.0297563796452,31.626641799893,36.6867293732769,29.0653376535146,30.6403114276816,35.6722460276603,28.1725216912276,3.46043957087159,4321.25011219471,956.703392497305,4381.67071762186,894.491777872655,4863.3638004012,974.366073827345,2.17372085669524,5.83678056263037,2.53037829449053,5.13316699406462,1.7817266871932,9.88985861430479,2.16194194612632,6.95326872366659,31.4628290691286,5.99575560433002e-08,14.5530406704502,4.52489761571269,TRUE,"FUN12","TRUE"
"17","NP_009379",17,31.1259501349497,25.0340183533476,23.9146393295269,28.1800171971,22.0880854154979,20.9687063916772,31.7643518627489,25.6724200811469,24.5530410573262,3.74668484127649,488.202444102767,151.51329042029,539.259475890646,137.550764959157,554.03325856917,142.91017097892,2.98960896373595,17.4026037738167,2.64160458578207,10.2014397606575,5.18146528535113,7.84165390660829,3.60422627828971,11.8152324803608,25.9223588692579,1.86779593531753e-06,7.19221182793181,2.19397789356627,TRUE,"PMT2","TRUE"
"18","NP_009386",18,54.0240238618952,54.4094079375941,56.3260482634982,67.7030923391054,68.0884764148042,70.0051167407083,88.9813082245682,89.366692300267,91.2833326261711,15.293023176663,66.6687822582677,161.203684981102,68.7311781952756,138.557211861417,81.442687392126,144.574111705512,14.5138324513491,7.42353625943952,34.9572843626729,9.80167226315463,22.2442276263365,2.64143352338369,23.9051148134528,6.62221401532595,71.1319443009568,0.000616630138503552,2.97559517517677,10.7414142968401,TRUE,"TPD3","TRUE"
"19","NP_009390",19,112.024355893749,109.096056069574,103.888351434961,112.424810860798,109.480011952283,104.266751348594,117.377073981172,114.432275072657,109.213681308222,4.4078448436621,6968.52828137817,10575.8441157284,7045.84362063198,9774.1719656599,7606.56140830711,8443.87189834467,3.91878522205828,3.12208128549644,9.22158782795953,9.56630340913565,6.84721504495248,7.28983738586276,6.6625293649901,6.65940736016495,110.244818658001,4.07203105550286e-12,16.5469917832272,16.5547491984738,TRUE,"CYS3","TRUE"
"21","NP_009396",21,63.3966416023353,63.9888779384723,64.5726525765675,62.5303095193302,63.1899959012063,63.5914265703194,67.2624787383514,67.8999600668522,68.3280138800599,2.22859795166405,34004.3185333731,34827.0821317866,34756.2110992668,35066.2718445888,35144.6326697877,35135.4755968335,4.06299955646215,2.94609326042294,8.39625179321049,4.99677539683252,6.55344562773637,4.23910012381062,6.33756565913634,4.06065626035536,64.973372977055,2.48540540854036e-12,10.2521025377289,16.0007074746506,TRUE,"SSA1","TRUE"
